Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1989,.12,.29,.36,.29,.17,.16,.34,.33,.34,.29,.19,.37,.27,.27,.23,.27,.28,.27
1990,.41,.43,.80,.56,.45,.37,.45,.34,.23,.44,.46,.40,.45,.44,.41,.60,.39,.38
1991,.42,.49,.35,.51,.34,.53,.47,.39,.44,.28,.29,.31,.40,.41,.44,.40,.46,.34
1992,.47,.40,.48,.27,.31,.25,.08,.08,-.01,.06,.02,.21,.22,.23,.40,.35,.14,.03
1993,.34,.37,.36,.27,.28,.22,.25,.11,.11,.23,.03,.18,.23,.23,.31,.30,.19,.13
1994,.26,.02,.29,.41,.28,.43,.30,.21,.31,.42,.44,.38,.31,.29,.15,.33,.31,.39
1995,.52,.79,.46,.46,.27,.43,.45,.45,.33,.46,.44,.26,.44,.45,.56,.40,.44,.41
1996,.24,.45,.32,.33,.27,.25,.36,.48,.25,.21,.41,.37,.33,.32,.32,.31,.36,.29
1997,.32,.40,.52,.33,.34,.54,.33,.41,.52,.61,.64,.58,.46,.44,.36,.40,.43,.59
1998,.58,.87,.63,.63,.68,.77,.65,.65,.41,.42,.42,.54,.60,.61,.68,.65,.69,.42
1999,.48,.63,.32,.31,.26,.36,.38,.31,.38,.34,.36,.40,.38,.39,.55,.30,.35,.36
2000,.24,.55,.55,.56,.35,.39,.39,.42,.38,.26,.30,.28,.39,.40,.40,.49,.40,.31
2001,.45,.43,.55,.50,.57,.51,.59,.49,.51,.50,.72,.55,.53,.51,.39,.54,.53,.58
2002,.77,.78,.87,.58,.64,.52,.61,.53,.63,.54,.58,.43,.62,.63,.70,.70,.56,.59
2003,.74,.58,.59,.55,.60,.47,.57,.64,.62,.72,.53,.74,.61,.59,.58,.58,.56,.62
2004,.58,.72,.63,.60,.36,.43,.26,.45,.50,.60,.72,.50,.53,.55,.68,.53,.38,.61
2005,.74,.59,.74,.66,.62,.64,.61,.60,.71,.76,.74,.67,.67,.66,.61,.68,.62,.74
2006,.55,.73,.63,.46,.47,.66,.54,.70,.65,.70,.73,.79,.63,.62,.65,.52,.63,.70
2007,1.01,.70,.71,.76,.68,.60,.59,.60,.60,.58,.59,.49,.66,.68,.83,.72,.60,.59
2008,.29,.37,.74,.53,.49,.49,.60,.45,.60,.66,.69,.53,.54,.53,.39,.59,.51,.65
2009,.64,.53,.53,.61,.65,.63,.73,.69,.71,.65,.79,.67,.65,.64,.57,.60,.69,.72
2010,.74,.83,.92,.85,.75,.67,.63,.67,.62,.71,.80,.45,.72,.74,.75,.84,.65,.71
2011,.52,.47,.65,.64,.53,.62,.70,.74,.55,.65,.59,.59,.60,.59,.48,.60,.69,.60
2012,.46,.48,.56,.72,.78,.65,.58,.65,.71,.79,.78,.52,.64,.65,.51,.69,.63,.76
2013,.71,.61,.67,.53,.60,.70,.59,.70,.76,.69,.83,.69,.67,.66,.61,.60,.66,.76
2014,.76,.54,.77,.80,.86,.67,.58,.83,.87,.80,.67,.78,.75,.74,.67,.81,.69,.78
2015,.87,.91,.96,.75,.79,.81,.73,.79,.83,1.07,1.06,1.17,.89,.86,.85,.83,.78,.99
2016,1.18,1.36,1.35,1.09,.95,.80,.84,1.01,.90,.87,.91,.86,1.01,1.04,1.23,1.13,.88,.89
2017,1.02,1.13,1.16,.93,.91,.70,.81,.87,.74,.88,.88,.93,.91,.91,1.00,1.00,.80,.83
2018,.82,.84,.88,.88,.81,.76,.83,.77,.80,1.01,.83,.92,.85,.85,.86,.86,.79,.88
2019,.93,.95,1.17,1.00,.86,.90,.93,.94,.93,1.00,.98,1.11,.97,.96,.93,1.01,.93,.97
2020,1.17,1.24,1.18,1.12,.99,.91,.89,.86,.96,.87,1.09,.79,1.00,1.03,1.17,1.09,.88,.97
2021,.81,.64,.89,.75,.79,.84,.92,.81,.92,.98,.92,.87,.84,.84,.75,.81,.86,.94
2022,.91,.89,1.04,.83,.84,.92,.94,.95,.88,.97,.73,.80,.89,.90,.89,.90,.94,.86
2023,.87,.97,1.23,.99,.94,1.08,1.19,1.19,1.48,1.34,1.41,1.37,1.17,1.12,.88,1.05,1.15,1.41
2024,1.25,1.44,1.39,1.31,1.14,1.20,1.20,1.29,1.24,1.33,1.29,1.27,1.28,1.29,1.35,1.28,1.23,1.29
2025,1.37,1.25,1.36,1.23,1.07,1.05,1.02,1.15,1.24,1.22,***,***,***,***,1.30,1.22,1.07,***
